Tweet Id,Tweet URL,Tweet Location,Tweet Posted Time (UTC),Latitude,Longitude
"""1223383667961221125""",https://twitter.com/cstjohn_mom/status/1223383667961221125,"North Carolina, USA",2020-01-31 23:12:00,35.7595731,-79.01929969999999
"""1223383663968227334""",https://twitter.com/Plebo5/status/1223383663968227334,"North Carolina, USA",2020-01-31 23:12:00,35.7595731,-79.01929969999999
"""1223383556598136833""",https://twitter.com/Shenanigans6/status/1223383556598136833,"Charlotte, NC",2020-01-31 23:12:00,35.2270869,-80.8431267
"""1223381317578055680""",https://twitter.com/sandra_greer/status/1223381317578055680,North Carolina,2020-01-31 23:03:00,35.7595731,-79.01929969999999
"""1223380667234508800""",https://twitter.com/steph93065/status/1223380667234508800,North Carolina ,2020-01-31 23:00:00,35.7595731,-79.01929969999999
"""1223379643748712449""",https://twitter.com/MKTG_FREE_TRNG/status/1223379643748712449,"Charlotte, NC",2020-01-31 22:56:00,35.2270869,-80.8431267
"""1223379329905758208""",https://twitter.com/OldGreenTom/status/1223379329905758208,"North Carolina, USA",2020-01-31 22:55:00,35.7595731,-79.01929969999999
"""1223378803612954625""",https://twitter.com/aughtpunk/status/1223378803612954625,North Carolina,2020-01-31 22:53:00,35.7595731,-79.01929969999999
"""1223377938369974272""",https://twitter.com/EnoughDisaster/status/1223377938369974272,"North Carolina, USA",2020-01-31 22:50:00,35.7595731,-79.01929969999999
"""1223376497341235202""",https://twitter.com/Mritha_Fallen/status/1223376497341235202,North Carolina,2020-01-31 22:44:00,35.7595731,-79.01929969999999
"""1223376485723131905""",https://twitter.com/pdgraham30/status/1223376485723131905,"Charlotte, NC",2020-01-31 22:44:00,35.2270869,-80.8431267
"""1223375963767164929""",https://twitter.com/EvoMellor/status/1223375963767164929,"Charlottesville, Virginia, USA",2020-01-31 22:42:00,38.0293059,-78.47667810000002
"""1223375267823001600""",https://twitter.com/RealPhilJones1/status/1223375267823001600,"North Carolina, USA",2020-01-31 22:39:00,35.7595731,-79.01929969999999
"""1223375243571613697""",https://twitter.com/L_Gale517/status/1223375243571613697,"North Carolina, USA",2020-01-31 22:39:00,35.7595731,-79.01929969999999
"""1223374729769295874""",https://twitter.com/SueCurrieFields/status/1223374729769295874,"Charlotte, NC",2020-01-31 22:37:00,35.2270869,-80.8431267
